"","doy","gfed_sum"
"1",229,13080498.3666167
"2",230,0
"3",231,793152.222409845
"4",232,655260.673403973
"5",233,1780365.70139229
"6",234,4168789.08723593
"7",235,5364187.79343367
"8",236,5833839.74432945
"9",237,2720247.8159219
"10",238,12726465.1274309
"11",239,2420196.63713872
"12",240,6336227.99366713
"13",241,6806971.8785584
"14",242,7836045.38636282
"15",243,11010744.2541048
"16",244,9077272.41385728
"17",245,23690718.088299
"18",246,1927975.02279282
"19",247,7631500.50379336
"20",248,3262363.27383667
"21",249,4408012.3052001
